Temperature,Humidity,CO2
22,56,0.004
23,57,0.004
21,50,0.004
26,51,0.004
25,60,0.004
29,67,0.005
24,64,0.006
25,66,0.007
30,72,0.008
30,60,0.009
28,53,0.01
26,57,0.011
27,49,0.012
24,49,0.013
27,53,0.014
24,49,0.015
24,47,0.016
25,52,0.017
23,51,0.018
26,52,0.019
24,48,0.02
22,50,0.021
24,49,0.022
24,45,0.023
22,46,0.024
23,48,0.025
25,50,0.026
24,47,0.027
24,47,0.028
22,53,0.029
23,51,0.03
23,56,0.031
25,56,0.032
23,51,0.033
21,56,0.034
24,62,0.035
30,66,0.036
25,67,0.037
25,64,0.038
28,58,0.039
25,52,0.04
23,57,0.041
27,52,0.042
26,52,0.043
23,46,0.044
23,54,0.045
24,49,0.046
22,49,0.047
26,45,0.048
25,44,0.049
26,52,0.05
26,56,0.051
26,52,0.052
25,59,0.053
29,69,0.054
33,69,0.055
31,69,0.056
30,73,0.057
33,69,0.058
34,72,0.059
31,59,0.06
27,59,0.061
23,51,0.062
22,49,0.063
21,55,0.064
22,49,0.065
26,55,0.066
26,52,0.067
24,60,0.068
25,52,0.069
27,60,0.07
25,51,0.071
25,48,0.072
22,45,0.073
25,48,0.074
28,47,0.075
24,54,0.076
22,60,0.077
21,64,0.078
21,57,0.079
23,49,0.08
23,50,0.081
21,59,0.082
25,61,0.083
24,56,0.084
24,54,0.085
29,67,0.086
30,54,0.087
24,53,0.088
23,59,0.089
26,60,0.09
25,61,0.091
22,56,0.092
21,61,0.093
20,51,0.094
23,57,0.095
25,63,0.096
24,56,0.097
25,48,0.098
